dvol_band,n_pairs,mean_triggers_7d,median_triggers_7d,p95_triggers_7d,max_triggers_7d
calm,555,4.12,3,9,24
mod,643,6.19,5,16,22
elev,178,8.23,7,17,39
stress,118,11.14,8,33,42
