Position Size (Notional),Bronze Protected Loss,Bronze Premium,Silver Protected Loss,Silver Premium,Gold Protected Loss,Gold Premium,Platinum Protected Loss,Platinum Premium
$5,000,$1,000,$95.00,$750,$85.00,$600,$75.00,$600,$70.00
$10,000,$2,000,$190.00,$1,500,$170.00,$1,200,$150.00,$1,200,$140.00
$15,000,$3,000,$285.00,$2,250,$255.00,$1,800,$225.00,$1,800,$210.00
$20,000,$4,000,$380.00,$3,000,$340.00,$2,400,$300.00,$2,400,$280.00
$25,000,$5,000,$475.00,$3,750,$425.00,$3,000,$375.00,$3,000,$350.00
$30,000,$6,000,$570.00,$4,500,$510.00,$3,600,$450.00,$3,600,$420.00
$35,000,$7,000,$665.00,$5,250,$595.00,$4,200,$525.00,$4,200,$490.00
$40,000,$8,000,$760.00,$6,000,$680.00,$4,800,$600.00,$4,800,$560.00
$45,000,$9,000,$855.00,$6,750,$765.00,$5,400,$675.00,$5,400,$630.00
$50,000,$10,000,$950.00,$7,500,$850.00,$6,000,$750.00,$6,000,$700.00
