regime,vrp,instrument,premium_$/side/day,concurrent_pairs,L1_hedge_equity,L2_tail_buffer,L3_loss_buffer,total_capital_$,expected_weekly_aggregate_PnL,p05_weekly_aggregate_PnL,weeks_to_burn_30k_at_E[PnL]
calm,0.0,strangle_7d,250,500,810339,273342,2434946,4574218,-2434946,-2518566,0
calm,0.0,strangle_7d,250,1000,1620679,386565,4869893,8940279,-4869893,-4988149,0
calm,0.0,strangle_7d,400,1,1620,9480,2744,17999,-2744,-6602,10
calm,0.0,strangle_7d,400,4,6482,18960,10978,47347,-10978,-18693,2
calm,0.0,strangle_7d,400,8,12965,26814,21956,80256,-21956,-32867,1
calm,0.0,strangle_7d,400,12,19448,32840,32934,110789,-32934,-46298,0
calm,0.0,strangle_7d,400,25,40516,47400,68613,203491,-68613,-87902,0
calm,0.0,strangle_7d,400,50,81033,67035,137227,370885,-137227,-164505,0
calm,0.0,strangle_7d,400,100,162067,94801,274454,690721,-274454,-313031,0
calm,0.0,strangle_7d,400,250,405169,149894,686135,1613561,-686135,-747132,0
calm,0.0,strangle_7d,400,500,810339,211983,1372271,3112973,-1372271,-1458533,0
calm,0.0,strangle_7d,400,1000,1620679,299789,2744543,6064517,-2744543,-2866536,0
calm,0.0,strangle_7d,600,1,1620,5413,4,9149,-4,-3816,7154
calm,0.0,strangle_7d,600,4,6482,10827,16,22524,-16,-7641,1788
calm,0.0,strangle_7d,600,8,12965,15311,33,36803,-33,-10817,894
calm,0.0,strangle_7d,600,12,19448,18753,50,49726,-50,-13257,596
calm,0.0,strangle_7d,600,25,40516,27067,104,87996,-104,-19167,286
calm,0.0,strangle_7d,600,50,81033,38279,209,155380,-209,-27168,143
calm,0.0,strangle_7d,600,100,162067,54135,419,281609,-419,-38544,71
calm,0.0,strangle_7d,600,250,405169,85595,1048,639357,-1048,-61330,28
calm,0.0,strangle_7d,600,500,810339,121050,2096,1213532,-2096,-87348,14
calm,0.0,strangle_7d,600,1000,1620679,171190,4193,2334882,-4193,-124756,7
calm,0.0,strangle_7d,800,1,1620,1525,0,4089,2824,-919,
calm,0.0,strangle_7d,800,4,6482,3050,0,12392,11297,3808,
calm,0.0,strangle_7d,800,8,12965,4313,0,22462,22595,12004,
calm,0.0,strangle_7d,800,12,19448,5283,0,32150,33892,20921,
calm,0.0,strangle_7d,800,25,40516,7625,0,62585,70609,51887,
calm,0.0,strangle_7d,800,50,81033,10784,0,119363,141219,114742,
calm,0.0,strangle_7d,800,100,162067,15251,0,230514,282439,244995,
calm,0.0,strangle_7d,800,250,405169,24114,0,558069,706097,646893,
calm,0.0,strangle_7d,800,500,810339,34102,0,1097775,1412195,1328468,
calm,0.0,strangle_7d,800,1000,1620679,48228,0,2169580,2824390,2705982,
calm,0.0,strangle_7d,1000,1,1620,0,0,2106,5669,1858,
calm,0.0,strangle_7d,1000,4,6482,0,0,8427,22679,15057,
calm,0.0,strangle_7d,1000,8,12965,0,0,16855,45358,34579,
calm,0.0,strangle_7d,1000,12,19448,0,0,25282,68037,54835,
calm,0.0,strangle_7d,1000,25,40516,0,0,52672,141744,122689,
calm,0.0,strangle_7d,1000,50,81033,0,0,105344,283489,256541,
calm,0.0,strangle_7d,1000,100,162067,0,0,210688,566978,528868,
calm,0.0,strangle_7d,1000,250,405169,0,0,526720,1417446,1357189,
calm,0.0,strangle_7d,1000,500,810339,0,0,1053441,2834893,2749676,
calm,0.0,strangle_7d,1000,1000,1620679,0,0,2106883,5669787,5549271,
calm,0.0,strangle_7d,1500,1,1620,0,0,2106,12598,8731,
calm,0.0,strangle_7d,1500,4,6482,0,0,8427,50392,42660,
calm,0.0,strangle_7d,1500,8,12965,0,0,16855,100785,89849,
calm,0.0,strangle_7d,1500,12,19448,0,0,25282,151177,137784,
calm,0.0,strangle_7d,1500,25,40516,0,0,52672,314953,295622,
calm,0.0,strangle_7d,1500,50,81033,0,0,105344,629907,602568,
calm,0.0,strangle_7d,1500,100,162067,0,0,210688,1259814,1221152,
calm,0.0,strangle_7d,1500,250,405169,0,0,526720,3149536,3088405,
calm,0.0,strangle_7d,1500,500,810339,0,0,1053441,6299072,6212620,
calm,0.0,strangle_7d,1500,1000,1620679,0,0,2106883,12598145,12475883,
